Numer rejestracyjny pojazdu,Marka pojazdu,Pojemnosc skokowa silnika,Moc silnika,Rok produkcji,Masa wlasna,Dopuszczalna masa calkowita,Rozstaw osi,Wysokosc,Pojemnosc zbiornika wody,Ilosc drzwi
GOQOWYA,Toyota,2.5,121,2010,448,2373,3165,1903,Benzyna,2
ORFYPEL,Audi,1.5,73,1998,221,2460,3003,1922,Elektryczny,4
STRJNUX,Toyota,2.0,84,1991,192,1545,3057,1496,Diesel,4
ZAOBHSX,Audi,1.5,76,2017,172,1732,3310,1527,Benzyna,2
JEXMKVF,Toyota,1.2,186,2005,234,2198,2969,1765,LPG,2
TODQMBP,Ford,1.0,244,1996,60,1978,2808,1674,Benzyna,2
LUEAXHT,Toyota,1.5,121,1995,210,2138,2760,1776,Benzyna,5
MIDNTVD,Volkswagen,2.0,265,1999,217,1092,3157,1668,LPG,4
DAQTTET,Audi,2.0,117,1997,357,1318,2831,1576,Diesel,5
KIXBKPQ,Ford,1.2,262,2005,239,1344,2588,1920,Elektryczny,5
AZLEZJW,Audi,1.0,368,2009,202,2364,3305,1868,LPG,5
LARHCBR,Volkswagen,2.5,339,2009,106,1444,2534,1542,LPG,5
LIRSHFM,Toyota,1.0,140,2021,489,2844,2684,1499,Diesel,2
PORGVEL,Toyota,1.5,232,2019,442,1877,3460,1418,Elektryczny,2
KOPAQZD,Toyota,2.5,383,2023,247,1095,3360,1874,LPG,2
GOYBKSJ,Audi,1.5,217,2018,424,1081,3081,1528,Diesel,2
WLUPFJC,Toyota,2.0,228,2004,315,1302,2861,1944,LPG,2
ROGLTUR,Volkswagen,2.0,156,2011,269,2533,3488,1415,LPG,5
JEUKPVP,Audi,1.2,164,2002,97,2863,2629,1964,LPG,2
POUFRQW,Audi,1.2,372,2023,316,1849,3349,1729,Diesel,5
RYIAXJX,Ford,1.0,69,2017,435,2368,2802,1434,Diesel,2
KWHPRBR,Volkswagen,2.5,152,2022,116,1404,2783,1843,LPG,2
GLTKZSB,Toyota,1.5,232,2011,197,1471,2513,1710,Elektryczny,4
KRGRZSH,Audi,1.2,272,2022,302,2474,2909,1993,Elektryczny,5
JAWXFSC,Toyota,1.2,299,1996,236,1176,2918,1965,Benzyna,4
TUAMXPF,Volkswagen,1.5,100,1994,318,1186,2703,1408,Diesel,5
CZKPKCV,BMW,1.2,197,2000,242,1464,2540,1537,Diesel,4
JAWGQVC,Ford,1.2,155,2007,342,2569,3439,1927,Diesel,4
WIUSULP,Volkswagen,1.5,187,2022,358,1805,3035,1898,Elektryczny,2
