Numer rejestracyjny pojazdu,Marka pojazdu,Pojemnosc skokowa silnika,Moc silnika,Rok produkcji,Masa wlasna,Dopuszczalna masa calkowita,Rozstaw osi,Wysokosc,Pojemnosc zbiornika wody,Ilosc drzwi
URBNSZU,BMW,1.2,59,1990,122,2701,2530,1733,Benzyna,2
GRQWUEG,Volkswagen,1.2,369,2014,419,1227,3496,1493,Benzyna,5
MIUVXTJ,Volkswagen,2.0,191,1992,257,2698,3426,1697,LPG,2
BUALVHV,Ford,1.5,246,1991,316,2007,2600,1880,Elektryczny,4
ZBVWTSU,Volkswagen,1.5,131,2017,58,2937,3367,1887,LPG,4
DOEIYEH,Toyota,1.0,51,1996,81,1103,2514,1624,Elektryczny,2
GRROHSG,Volkswagen,1.5,285,2010,154,1075,3478,1612,Diesel,2
MITDIZT,Toyota,2.5,249,2017,441,2596,2971,1551,Diesel,5
TYSVAQL,Volkswagen,2.5,172,1992,366,2716,2943,1403,Benzyna,5
ROPBSDS,Audi,2.0,221,2007,309,2537,3103,1532,Elektryczny,2
WIFKGQX,Audi,1.5,93,2020,379,1589,3125,1609,LPG,4
PSUSUEG,Volkswagen,1.0,341,2012,170,2876,3295,1710,LPG,4
JAJSYFJ,Audi,2.5,260,2021,62,2659,3285,1406,Diesel,4
KRODOHL,BMW,1.2,65,2006,466,1956,2754,1566,Elektryczny,5
LUXNZLP,BMW,2.5,286,2018,373,2984,2503,1715,Elektryczny,2
SZXPBTE,Volkswagen,1.2,88,2017,461,1892,3125,1471,Diesel,5
REINLFP,Volkswagen,2.0,61,2005,423,2585,3044,1498,LPG,5
JABLCAO,BMW,1.2,379,2000,330,2254,3430,1594,Elektryczny,2
NAKJHYU,Ford,1.0,181,2019,229,2730,3382,1958,LPG,2
BOELMSH,Audi,1.0,51,2021,448,2753,2818,1448,Diesel,4
REWSLAN,Ford,2.5,384,1991,69,2420,2821,1468,Elektryczny,5
DWHVMLS,Ford,1.5,117,1996,60,2190,3363,1605,Elektryczny,5
FLNTERK,Audi,1.5,98,1990,457,1075,2943,1430,LPG,2
JAPNIVP,Ford,2.5,351,1994,445,1843,3169,1538,Benzyna,5
KRTDXWY,Toyota,1.2,380,1991,407,1614,2546,1628,LPG,4
CIJTJJL,BMW,2.0,81,2019,292,2588,3197,1598,Benzyna,4
STCHKAO,Volkswagen,1.2,256,2016,304,1743,2908,1856,Elektryczny,5
BUTAGES,Ford,1.0,317,2014,306,2361,3306,1597,LPG,2
LICJYSH,Audi,2.5,156,2023,57,2408,3132,1625,Diesel,2
KOMFALS,Audi,1.5,163,2009,245,2366,3255,1866,Elektryczny,5
KOKCWLJ,BMW,1.0,180,1999,204,2320,2999,1720,Benzyna,2
POWKMUJ,Toyota,1.5,278,2014,300,2443,2585,1742,Benzyna,4
TRDQBEF,Audi,2.5,292,2021,166,1939,3177,1409,Benzyna,4
JESLBBO,Ford,1.2,223,1993,283,2711,2730,1951,LPG,5
JAJREIO,Audi,2.0,151,2020,483,2137,2829,1969,LPG,4
ROSJHAO,Ford,2.0,231,2013,113,1145,2518,1781,LPG,5
KRLQKFX,Volkswagen,2.0,231,2011,261,2866,2980,1555,Diesel,4
WIBJNPP,Audi,2.0,205,2014,152,2569,3366,1779,LPG,5
MABNVUP,BMW,2.5,354,1996,110,1939,2926,1667,Benzyna,2
GLVODIH,Audi,1.2,309,2016,405,2363,3492,1567,LPG,2
MOGFJGN,Toyota,2.5,71,2019,125,1586,3072,1672,Benzyna,4
MAUQMMR,Volkswagen,2.5,276,2004,226,1376,3127,1898,Elektryczny,2
DLBZGSJ,Volkswagen,1.0,77,2018,242,2553,2548,1699,Elektryczny,5
PINQUYY,Ford,1.5,280,2007,145,1800,2638,1441,Benzyna,5
TERQKSF,Audi,1.0,121,1990,250,2129,3432,1858,LPG,5
DLMOIAK,BMW,1.2,348,1999,171,2826,3173,1753,LPG,4
TYTJEDU,Audi,1.5,347,1997,143,1784,2986,1783,Diesel,4
DRNARFO,Volkswagen,1.5,109,2008,272,2490,3146,1570,Elektryczny,5
KRJTTSQ,Ford,1.5,174,2005,140,1005,2878,1782,Elektryczny,2
SZGBLTR,Ford,1.5,279,2011,472,1983,3053,1754,LPG,2
WIFAAQC,Toyota,2.0,208,1999,157,1864,2602,1892,Benzyna,2
KLBRESP,BMW,1.2,289,2021,291,2682,2756,1887,LPG,2
WYTKCVX,Volkswagen,1.0,265,2022,101,2419,2988,1941,Benzyna,4
ROQHQPW,Volkswagen,1.5,383,2016,239,2491,2506,1641,Benzyna,5
LIMOEBL,Volkswagen,1.2,81,2010,373,2163,3241,1568,LPG,5
NAJXHCU,BMW,2.5,301,2022,400,2864,2720,1429,Diesel,5
